MUNICIPIO	COD_CNMO
Ipiales	52356
Contadero	52210
Túquerres	52838
Mocoa	86001
Puerto Nariño	91540
Santander (Araracuara)	91669
Solano	18756
Puerres	52573
Florencia (Caquetá)	18001
Cumbitara	52233
Tumaco	52835
Pitalito	41551
Barbacoas	52079
Mallama (Piedrancha)	52435
Pasto	52001
Ricaurte (Nariño)	52612
Puracé (Coconuco)	19585
Taminango	52786
Popayán	19001
San Agustín	41668
Saladoblanco	41660
Balboa (Cauca)	19075
La Sierra	19392
San Vicente Del Caguán	18753
Agrado	41013
Argelia (Cauca)	19050
Cajibío	19130
Páez (Belalcázar)	19517
Neiva	41001
Guapi	19318
López	19418
Leticia	91001
Pinillos	13549
Achí	13006
Altos Del Rosario	13030
San Jacinto Del Cauca	13655
San Onofre	70713
Montecristo	13458
Guicán	15332
Inzá	19355
Baraya	41078
Florida	76275
Cali	76001
Jamundí	76364
Villamaria	17873
Buenaventura	76109
Espinal	73268
Cabrera (Cundinamarca)	25120
Cunday	73226
Roncesvalles	73622
Puerto López	50573
Prado	73563
Buga	76111
Purificación	73585
Cajamarca	73124
Ibagué	73001
San Cayetano (Cundinamarca)	25653
Pasca	25535
Bogota, D.C	11001
Nariño (Cundinamarca)	25483
Inírida	94001
Silvania	25743
Saldaña	73671
Natagaima	73483
Girardot	25307
Caicedonia	76122
Cartago	76147
Pereira	66001
Ambalema	73030
Ansermanuevo	76041
Mosquera (Cundinamarca)	25473
Santa Rosa De Cabal	66682
Calarcá	63130
Guasca	25322
La Calera	25377
Santa María (Boyacá)	15690
Murillo	73461
La Virginia	66400
Orocué	85230
Marsella	66440
Armenia (Quindío)	63001
Suesca	25772
Ubaté	25843
Yopal	85001
Ventaquemada	15861
Trinidad	85430
Mariquita	73443
Belén De Umbría	66088
Chinavita	15172
Tadó	27787
Zetaquirá	15897
Villeta	25875
Manizales	17001
Nemocón	25486
La Capilla	15380
Santuario (Risaralda)	66687
Quebradanegra	25592
Puerto Salgar	25572
Aquitania	15047
Alto Baudó (Pie De Pato)	27025
San Pablo De Borbur	15681
Nimaima	25489
Lloró	27413
Nunchía	85225
Cuítiva	15226
Sogamoso	15759
Socha	15757
Pisva	15550
Sonsón	5756
Aguadas	17013
Santa Bárbara (Antioquia)	5679
Paipa	15516
Jericó (Antioquia)	5368
Paz De Ariporo	85250
Mogotes	68464
Venecia (Antioquia)	5861
Puerto Berrío	5579
El Espino	15248
Cimitarra	68190
Medellín	5001
Bahía Solano (Mutis)	27075
Puerto Nare	5585
Villavicencio	50001
Floridablanca	68276
Cucutilla	54223
Yolombó	5890
Bucaramanga	68001
Entrerrios	5264
Cerrito	68162
San Vicente De Chucurí	68689
Barrancabermeja	68081
Arauquita	81065
Granada (Meta)	50313
Tona	68820
Montelíbano	23466
Aguachica	20011
Tierralta	23807
Nechí	5495
Zaragoza	5895
San Pablo (Bolívar)	13670
Pamplona	54518
Ocaña	54498
Chinácota	54172
Villa Del Rosario	54874
Durania	54239
Puerto Libertador	23580
Samacá	15646
El Banco	47245
Zona Bananera	47980
Fonseca	44279
Chinú	23182
Valledupar	20001
San Benito Abad	70678
Albania (La guajira)	44035
Lorica	23417
Riohacha	44001
San Sebastián De Buenavista	47692
Sincelejo	70001
Tolú	70820
Uribia	44847
Morroa	70473
Santa Marta	47001
Plato	47555
San Andrés (Archipiélago de San Andrés, Providencia y Santa Catalina)	88001
Ariguaní (El Dificil)	47058
Gamarra	20295
Ayapel	23068
El Guamo	13248
Arjona	13052
Agustín Codazzi	20013
Repelón	8606
Pueblo Nuevo	23570
Montería	23001
Suan	8770
Manaure Balcón Del Cesar	20443
San Marcos	70708
Cartagena De Indias	13001
Fundación	47288
Pivijai	47551
Sabanalarga (Atlántico)	8638
Labranzagrande	15377
Soledad	8758
San Juan Del Cesar	44650
Puerto Asís	86568
Chachaguí	52240
Palmira	76520
Puerto Carreño	99001
Lebrija	68406
Cúcuta	54001
Cereté	23162
San Andres Y  Providencia (Santa Isabel)	88564
Támara	85400
San Juan De Arama	50683
Castilla La Nueva	50150
San José Del Guaviare	95001
Vistahermosa	50711
Monterrey	85162
Tolú Viejo	70823
Villagarzón	86885
Cumaribo	99773
Bagadó	27073
Puerto Arica	91536
Sabanalarga (Casanare)	85300
Ciudad Bolívar	5101
Chigorodó	5172
Santa Fe De Antioquia	5042
Rionegro (Antioquia)	5615
Tarazá	5790
Bello	5088
Turbo	5837
Unguía	27800
Íquira	41357
Villavieja	41872
El Tambo (Cauca)	19256
Puerto Leguízamo	86573
El Bagre	5250
Guayabal De Síquima	25328
La Vega	25402
Puerto Wilches	68575
El Paso	20250
Icononzo	73352
Palestina (Huila)	41530
Anapoima	25035
Rivera	41615
Anzoátegui	73043
Villapinzón	25873
Zipaquirá	25899
Piedras	73547
Quípama	15580
Herrán	54347
Guaduas	25320
San Roque	5670
Colombia	41206
Santa Rosa Del Sur	13688
Macanal	15425
Almeida	15022
Manta	25436
El Zulia	54261
Caucasia	5154
Simití	13744
Somondoco	15761
El Águila	76243
Sasaima	25718
Guayatá	15325
Gachancipá	25295
Armero (Guayabal)	73055
Tocancipá	25817
Pailitas	20517
Chaguaní	25168
Gachantivá	15293
Betania	5091
El Carmen (Choco)	27245
Albania (Santander)	68020
Mongua	15464
Támesis	5789
Arcabuco	15051
Quibdó	27001
Nobsa	15491
Gámeza	15296
La Pintada	5390
Ciénaga	47189
Polonuevo	8558
Tuta	15837
Juan De Acosta	8372
Arboledas	54051
Cáchira	54128
Rionegro (Santander)	68615
Cáceres	5120
San Alberto	20710
Bochalema	54099
La Esperanza	54385
Margarita	13440
Barranco De Loba	13074
Sucre (Sucre)	70771
San Pelayo	23686
El Peñón (Bolívar)	13268
Tibú	54810
Santa Catalina	13673
Hatillo De Loba	13300
Ciénaga De Oro	23189
Magangué	13430
Distracción	44098
Barrancas	44078
Curumaní	20228
Tubará	8832
Barranquilla	8001
Barranca De Upía	50110
Puerto Colombia (Atlántico)	8573
Puebloviejo	47570
Carepa	5147
Palermo	41524
Salazar	54660
Apartadó	5045
Mompós	13468
Puerto Escondido	23574
Cotorra	23300
San Fernando	13650
Chimichagua	20175
Chima (Córdoba)	23168
San Andrés De Sotavento	23670
Sitionuevo	47745
Hato Nuevo	44378
Dibulla	44090
Maicao	44430
Restrepo (Meta)	50606
Vigia Del Fuerte	5873
Riosucio (Choco)	27615
Santiago (Norte de Santander)	54680
Gramalote	54313
San Cayetano (Norte de Santander)	54673
Galeras	70235
Sincé	70742
Corozal	70215
Ábrego	54003
