DPTO_CNMBR	MPIO_CNMBR	NOM_SUBREG	COD_SUBREG	MPIO_CCNCT	DPTO_CCDGO
AMAZONAS	EL ENCANTO	AMAZONAS	9100	91263	91
AMAZONAS	LA CHORRERA	AMAZONAS	9100	91405	91
AMAZONAS	LA PEDRERA	AMAZONAS	9100	91407	91
AMAZONAS	LA VICTORIA	AMAZONAS	9100	91430	91
AMAZONAS	LETICIA	AMAZONAS	9100	91001	91
AMAZONAS	MIRITÍ - PARANÁ	AMAZONAS	9100	91460	91
AMAZONAS	PUERTO ALEGRÍA	AMAZONAS	9100	91530	91
AMAZONAS	PUERTO ARICA	AMAZONAS	9100	91536	91
AMAZONAS	PUERTO NARIÑO	AMAZONAS	9100	91540	91
AMAZONAS	PUERTO SANTANDER	AMAZONAS	9100	91669	91
AMAZONAS	TARAPACÁ	AMAZONAS	9100	91798	91
ANTIOQUIA	ABEJORRAL	ORIENTE	506	5002	5
ANTIOQUIA	ABRIAQUÍ	OCCIDENTE	505	5004	5
ANTIOQUIA	ALEJANDRÍA	ORIENTE	506	5021	5
ANTIOQUIA	AMAGÁ	SUROESTE	507	5030	5
ANTIOQUIA	AMALFI	NORDESTE	503	5031	5
ANTIOQUIA	ANDES	SUROESTE	507	5034	5
ANTIOQUIA	ANGELÓPOLIS	SUROESTE	507	5036	5
ANTIOQUIA	ANGOSTURA	NORTE	504	5038	5
ANTIOQUIA	ANORÍ	NORDESTE	503	5040	5
ANTIOQUIA	ANZÁ	OCCIDENTE	505	5044	5
ANTIOQUIA	APARTADÓ	URABÁ	508	5045	5
ANTIOQUIA	ARBOLETES	URABÁ	508	5051	5
ANTIOQUIA	ARGELIA	ORIENTE	506	5055	5
ANTIOQUIA	ARMENIA	OCCIDENTE	505	5059	5
ANTIOQUIA	BARBOSA	VALLE DEL ABURRÁ	509	5079	5
ANTIOQUIA	BELLO	VALLE DEL ABURRÁ	509	5088	5
ANTIOQUIA	BELMIRA	NORTE	504	5086	5
ANTIOQUIA	BETANIA	SUROESTE	507	5091	5
ANTIOQUIA	BETULIA	SUROESTE	507	5093	5
ANTIOQUIA	BRICEÑO	NORTE	504	5107	5
ANTIOQUIA	BURITICÁ	OCCIDENTE	505	5113	5
ANTIOQUIA	CÁCERES	BAJO CAUCA	501	5120	5
ANTIOQUIA	CAICEDO	SUROESTE	507	5125	5
ANTIOQUIA	CALDAS	VALLE DEL ABURRÁ	509	5129	5
ANTIOQUIA	CAMPAMENTO	NORTE	504	5134	5
ANTIOQUIA	CAÑASGORDAS	OCCIDENTE	505	5138	5
ANTIOQUIA	CARACOLÍ	MAGDALENA MEDIO	502	5142	5
ANTIOQUIA	CARAMANTA	SUROESTE	507	5145	5
ANTIOQUIA	CAREPA	URABÁ	508	5147	5
ANTIOQUIA	CAROLINA	NORTE	504	5150	5
ANTIOQUIA	CAUCASIA	BAJO CAUCA	501	5154	5
ANTIOQUIA	CHIGORODÓ	URABÁ	508	5172	5
ANTIOQUIA	CISNEROS	NORDESTE	503	5190	5
ANTIOQUIA	CIUDAD BOLÍVAR	SUROESTE	507	5101	5
ANTIOQUIA	COCORNÁ	ORIENTE	506	5197	5
ANTIOQUIA	CONCEPCIÓN	ORIENTE	506	5206	5
ANTIOQUIA	CONCORDIA	SUROESTE	507	5209	5
ANTIOQUIA	COPACABANA	VALLE DEL ABURRÁ	509	5212	5
ANTIOQUIA	DABEIBA	OCCIDENTE	505	5234	5
ANTIOQUIA	DONMATÍAS	NORTE	504	5237	5
ANTIOQUIA	EBÉJICO	OCCIDENTE	505	5240	5
ANTIOQUIA	EL BAGRE	BAJO CAUCA	501	5250	5
ANTIOQUIA	EL CARMEN DE VIBORAL	ORIENTE	506	5148	5
ANTIOQUIA	EL SANTUARIO	ORIENTE	506	5697	5
ANTIOQUIA	ENTRERRÍOS	NORTE	504	5264	5
ANTIOQUIA	ENVIGADO	VALLE DEL ABURRÁ	509	5266	5
ANTIOQUIA	FREDONIA	SUROESTE	507	5282	5
ANTIOQUIA	FRONTINO	OCCIDENTE	505	5284	5
ANTIOQUIA	GIRALDO	OCCIDENTE	505	5306	5
ANTIOQUIA	GIRARDOTA	VALLE DEL ABURRÁ	509	5308	5
ANTIOQUIA	GÓMEZ PLATA	NORTE	504	5310	5
ANTIOQUIA	GRANADA	ORIENTE	506	5313	5
ANTIOQUIA	GUADALUPE	NORTE	504	5315	5
ANTIOQUIA	GUARNE	ORIENTE	506	5318	5
ANTIOQUIA	GUATAPÉ	ORIENTE	506	5321	5
ANTIOQUIA	HELICONIA	OCCIDENTE	505	5347	5
ANTIOQUIA	HISPANIA	SUROESTE	507	5353	5
ANTIOQUIA	ITAGÜÍ	VALLE DEL ABURRÁ	509	5360	5
ANTIOQUIA	ITUANGO	NORTE	504	5361	5
ANTIOQUIA	JARDÍN	SUROESTE	507	5364	5
ANTIOQUIA	JERICÓ	SUROESTE	507	5368	5
ANTIOQUIA	LA CEJA	ORIENTE	506	5376	5
ANTIOQUIA	LA ESTRELLA	VALLE DEL ABURRÁ	509	5380	5
ANTIOQUIA	LA PINTADA	SUROESTE	507	5390	5
ANTIOQUIA	LA UNIÓN	ORIENTE	506	5400	5
ANTIOQUIA	LIBORINA	OCCIDENTE	505	5411	5
ANTIOQUIA	MACEO	MAGDALENA MEDIO	502	5425	5
ANTIOQUIA	MARINILLA	ORIENTE	506	5440	5
ANTIOQUIA	MEDELLÍN	VALLE DEL ABURRÁ	509	5001	5
ANTIOQUIA	MONTEBELLO	SUROESTE	507	5467	5
ANTIOQUIA	MURINDÓ	URABÁ	508	5475	5
ANTIOQUIA	MUTATÁ	URABÁ	508	5480	5
ANTIOQUIA	NARIÑO	ORIENTE	506	5483	5
ANTIOQUIA	NECHÍ	BAJO CAUCA	501	5495	5
ANTIOQUIA	NECOCLÍ	URABÁ	508	5490	5
ANTIOQUIA	OLAYA	OCCIDENTE	505	5501	5
ANTIOQUIA	PEÑOL	ORIENTE	506	5541	5
ANTIOQUIA	PEQUE	OCCIDENTE	505	5543	5
ANTIOQUIA	PUEBLORRICO	SUROESTE	507	5576	5
ANTIOQUIA	PUERTO BERRÍO	MAGDALENA MEDIO	502	5579	5
ANTIOQUIA	PUERTO NARE	MAGDALENA MEDIO	502	5585	5
ANTIOQUIA	PUERTO TRIUNFO	MAGDALENA MEDIO	502	5591	5
ANTIOQUIA	REMEDIOS	NORDESTE	503	5604	5
ANTIOQUIA	RETIRO	ORIENTE	506	5607	5
ANTIOQUIA	RIONEGRO	ORIENTE	506	5615	5
ANTIOQUIA	SABANALARGA	OCCIDENTE	505	5628	5
ANTIOQUIA	SABANETA	VALLE DEL ABURRÁ	509	5631	5
ANTIOQUIA	SALGAR	SUROESTE	507	5642	5
ANTIOQUIA	SAN ANDRÉS DE CUERQUÍA	NORTE	504	5647	5
ANTIOQUIA	SAN CARLOS	ORIENTE	506	5649	5
ANTIOQUIA	SAN FRANCISCO	ORIENTE	506	5652	5
ANTIOQUIA	SAN JERÓNIMO	OCCIDENTE	505	5656	5
ANTIOQUIA	SAN JOSÉ DE LA MONTAÑA	NORTE	504	5658	5
ANTIOQUIA	SAN JUAN DE URABÁ	URABÁ	508	5659	5
ANTIOQUIA	SAN LUIS	ORIENTE	506	5660	5
ANTIOQUIA	SAN PEDRO DE LOS MILAGROS	NORTE	504	5664	5
ANTIOQUIA	SAN PEDRO DE URABÁ	URABÁ	508	5665	5
ANTIOQUIA	SAN RAFAEL	ORIENTE	506	5667	5
ANTIOQUIA	SAN ROQUE	NORDESTE	503	5670	5
ANTIOQUIA	SAN VICENTE FERRER	ORIENTE	506	5674	5
ANTIOQUIA	SANTA BÁRBARA	SUROESTE	507	5679	5
ANTIOQUIA	SANTA FÉ DE ANTIOQUIA	OCCIDENTE	505	5042	5
ANTIOQUIA	SANTA ROSA DE OSOS	NORTE	504	5686	5
ANTIOQUIA	SANTO DOMINGO	NORDESTE	503	5690	5
ANTIOQUIA	SEGOVIA	NORDESTE	503	5736	5
ANTIOQUIA	SONSÓN	ORIENTE	506	5756	5
ANTIOQUIA	SOPETRÁN	OCCIDENTE	505	5761	5
ANTIOQUIA	TÁMESIS	SUROESTE	507	5789	5
ANTIOQUIA	TARAZÁ	BAJO CAUCA	501	5790	5
ANTIOQUIA	TARSO	SUROESTE	507	5792	5
ANTIOQUIA	TITIRIBÍ	SUROESTE	507	5809	5
ANTIOQUIA	TOLEDO	NORTE	504	5819	5
ANTIOQUIA	TURBO	URABÁ	508	5837	5
ANTIOQUIA	URAMITA	OCCIDENTE	505	5842	5
ANTIOQUIA	URRAO	SUROESTE	507	5847	5
ANTIOQUIA	VALDIVIA	NORTE	504	5854	5
ANTIOQUIA	VALPARAÍSO	SUROESTE	507	5856	5
ANTIOQUIA	VEGACHÍ	NORDESTE	503	5858	5
ANTIOQUIA	VENECIA	SUROESTE	507	5861	5
ANTIOQUIA	VIGÍA DEL FUERTE	URABÁ	508	5873	5
ANTIOQUIA	YALÍ	NORDESTE	503	5885	5
ANTIOQUIA	YARUMAL	NORTE	504	5887	5
ANTIOQUIA	YOLOMBÓ	NORDESTE	503	5890	5
ANTIOQUIA	YONDÓ	MAGDALENA MEDIO	502	5893	5
ANTIOQUIA	ZARAGOZA	BAJO CAUCA	501	5895	5
ARAUCA	ARAUCA	ARAUCA	8100	81001	81
ARAUCA	ARAUQUITA	ARAUCA	8100	81065	81
ARAUCA	CRAVO NORTE	ARAUCA	8100	81220	81
ARAUCA	FORTUL	ARAUCA	8100	81300	81
ARAUCA	PUERTO RONDÓN	ARAUCA	8100	81591	81
ARAUCA	SARAVENA	ARAUCA	8100	81736	81
ARAUCA	TAME	ARAUCA	8100	81794	81
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	PROVIDENCIA	ARCHIPIELAGO DE SAN ANDRÉS	8800	88564	88
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	SAN ANDRÉS	ARCHIPIELAGO DE SAN ANDRÉS	8800	88001	88
ATLÁNTICO	BARANOA	CENTRO ORIENTE	801	8078	8
ATLÁNTICO	BARRANQUILLA	NORTE	802	8001	8
ATLÁNTICO	CAMPO DE LA CRUZ	SUR	804	8137	8
ATLÁNTICO	CANDELARIA	SUR	804	8141	8
ATLÁNTICO	GALAPA	NORTE	802	8296	8
ATLÁNTICO	JUAN DE ACOSTA	OCCIDENTAL	803	8372	8
ATLÁNTICO	LURUACO	SUR	804	8421	8
ATLÁNTICO	MALAMBO	NORTE	802	8433	8
ATLÁNTICO	MANATÍ	SUR	804	8436	8
ATLÁNTICO	PALMAR DE VARELA	CENTRO ORIENTE	801	8520	8
ATLÁNTICO	PIOJÓ	OCCIDENTAL	803	8549	8
ATLÁNTICO	POLONUEVO	CENTRO ORIENTE	801	8558	8
ATLÁNTICO	PONEDERA	CENTRO ORIENTE	801	8560	8
ATLÁNTICO	PUERTO COLOMBIA	NORTE	802	8573	8
ATLÁNTICO	REPELÓN	SUR	804	8606	8
ATLÁNTICO	SABANAGRANDE	CENTRO ORIENTE	801	8634	8
ATLÁNTICO	SABANALARGA	CENTRO ORIENTE	801	8638	8
ATLÁNTICO	SANTA LUCÍA	SUR	804	8675	8
ATLÁNTICO	SANTO TOMÁS	CENTRO ORIENTE	801	8685	8
ATLÁNTICO	SOLEDAD	NORTE	802	8758	8
ATLÁNTICO	SUAN	SUR	804	8770	8
ATLÁNTICO	TUBARÁ	OCCIDENTAL	803	8832	8
ATLÁNTICO	USIACURÍ	OCCIDENTAL	803	8849	8
BOGOTÁ, D.C.	BOGOTÁ, D.C.	BOGOTÁ, D. C.	1101	11001	11
BOLÍVAR	ACHÍ	MOJANA BOLIVARENSE	1305	13006	13
BOLÍVAR	ALTOS DEL ROSARIO	LOBA	1303	13030	13
BOLÍVAR	ARENAL	MAGDALENA MEDIO BOLIVARENSE	1304	13042	13
BOLÍVAR	ARJONA	DIQUE BOLIVARENSE	1302	13052	13
BOLÍVAR	ARROYOHONDO	DIQUE BOLIVARENSE	1302	13062	13
BOLÍVAR	BARRANCO DE LOBA	LOBA	1303	13074	13
BOLÍVAR	CALAMAR	DIQUE BOLIVARENSE	1302	13140	13
BOLÍVAR	CANTAGALLO	MAGDALENA MEDIO BOLIVARENSE	1304	13160	13
BOLÍVAR	CARTAGENA DE INDIAS	DIQUE BOLIVARENSE	1302	13001	13
BOLÍVAR	CICUCO	DEPRESIÓN MOMPOSINA	1301	13188	13
BOLÍVAR	CLEMENCIA	DIQUE BOLIVARENSE	1302	13222	13
BOLÍVAR	CÓRDOBA	MONTES DE MARÍA	1306	13212	13
BOLÍVAR	EL CARMEN DE BOLÍVAR	MONTES DE MARÍA	1306	13244	13
BOLÍVAR	EL GUAMO	MONTES DE MARÍA	1306	13248	13
BOLÍVAR	EL PEÑÓN	LOBA	1303	13268	13
BOLÍVAR	HATILLO DE LOBA	DEPRESIÓN MOMPOSINA	1301	13300	13
BOLÍVAR	MAGANGUÉ	MOJANA BOLIVARENSE	1305	13430	13
BOLÍVAR	MAHATES	DIQUE BOLIVARENSE	1302	13433	13
BOLÍVAR	MARGARITA	DEPRESIÓN MOMPOSINA	1301	13440	13
BOLÍVAR	MARÍA LA BAJA	MONTES DE MARÍA	1306	13442	13
BOLÍVAR	MOMPÓS	DEPRESIÓN MOMPOSINA	1301	13468	13
BOLÍVAR	MONTECRISTO	MOJANA BOLIVARENSE	1305	13458	13
BOLÍVAR	MORALES	MAGDALENA MEDIO BOLIVARENSE	1304	13473	13
BOLÍVAR	NOROSÍ	MAGDALENA MEDIO BOLIVARENSE	1304	13490	13
BOLÍVAR	PINILLOS	MOJANA BOLIVARENSE	1305	13549	13
BOLÍVAR	REGIDOR	LOBA	1303	13580	13
BOLÍVAR	RÍO VIEJO	LOBA	1303	13600	13
BOLÍVAR	SAN CRISTÓBAL	DIQUE BOLIVARENSE	1302	13620	13
BOLÍVAR	SAN ESTANISLAO	DIQUE BOLIVARENSE	1302	13647	13
BOLÍVAR	SAN FERNANDO	DEPRESIÓN MOMPOSINA	1301	13650	13
BOLÍVAR	SAN JACINTO	MONTES DE MARÍA	1306	13654	13
BOLÍVAR	SAN JACINTO DEL CAUCA	MOJANA BOLIVARENSE	1305	13655	13
BOLÍVAR	SAN JUAN NEPOMUCENO	MONTES DE MARÍA	1306	13657	13
BOLÍVAR	SAN MARTÍN DE LOBA	LOBA	1303	13667	13
